iso_code;continent;location;last_updated_date;total_cases;new_cases;new_cases_smoothed;total_deaths;new_deaths;new_deaths_smoothed;total_cases_per_million;new_cases_per_million;new_cases_smoothed_per_million;total_deaths_per_million;new_deaths_per_million;new_deaths_smoothed_per_million;reproduction_rate;icu_patients;icu_patients_per_million;hosp_patients;hosp_patients_per_million;weekly_icu_admissions;weekly_icu_admissions_per_million;weekly_hosp_admissions;weekly_hosp_admissions_per_million;total_tests;new_tests;total_tests_per_thousand;new_tests_per_thousand;new_tests_smoothed;new_tests_smoothed_per_thousand;positive_rate;tests_per_case;tests_units;total_vaccinations;people_vaccinated;people_fully_vaccinated;total_boosters;new_vaccinations;new_vaccinations_smoothed;total_vaccinations_per_hundred;people_vaccinated_per_hundred;people_fully_vaccinated_per_hundred;total_boosters_per_hundred;new_vaccinations_smoothed_per_million;new_people_vaccinated_smoothed;new_people_vaccinated_smoothed_per_hundred;stringency_index;population_density;median_age;aged_65_older;aged_70_older;gdp_per_capita;extreme_poverty;cardiovasc_death_rate;diabetes_prevalence;female_smokers;male_smokers;handwashing_facilities;hospital_beds_per_thousand;life_expectancy;human_development_index;population;excess_mortality_cumulative_absolute;excess_mortality_cumulative;excess_mortality;excess_mortality_cumulative_per_million
AFG;Asia;Afghanistan;18.01.2023;208034;25;19,143;7860;1;0,857;5058,114;0,608;0,465;191,107;0,024;0,021;;;;;;;;;;;;;;;;;;;12603486;11606705;10894509;;;7709;30,64;28,22;26,49;;187;7356;0,018;;54,422;18.sty;2,581;1,337;1803,987;;597,029;sty.00;;;37,746;0,5;64,83;0,511;41128772;;;;
OWID_AFR;;Africa;18.01.2023;12487337;1321;1221,286;257506;3;3,286;8752,377;0,926;0,856;180,486;0,002;0,002;;;;;;;;;;;;;;;;;;;749536821;484062812;398815369;66003692;15873;16280;52,54;33,93;27,95;sty.00;11;5126;0;;;;;;;;;;;;;;;;1426736614;;;;
ALB;Europe;Albania;18.01.2023;334084;20;12,714;3596;0;0;117539,276;7,037;4,473;1265,165;0;0;;;;;;;;;;;;;;;;;;;3042696;1344067;1272309;383982;;606;107,05;47,29;44,76;13,51;213;65;0,002;;104,871;38;13,188;8,643;11803,431;01.sty;304,195;10.sty;07.sty;51,2;;sty.00;78,57;0,795;2842318;;;;
DZA;Africa;Algeria;18.01.2023;271296;4;4;6881;0;0;6041,793;0,089;0,089;153,241;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17,348;29.sty;6,211;3,857;13913,839;0,5;278,364;sty.00;0,7;30.sty;83,741;01.sty;76,88;0,748;44903228;;;;
AND;Europe;Andorra;18.01.2023;47781;0;0;165;0;0;598436,932;0;0;2066,556;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;163,755;;;;;;109,135;sty.00;29;37,8;;;83,73;0,868;79843;;;;
AGO;Africa;Angola;18.01.2023;105095;0;0;1930;0;0;2953,02;0;0;54,23;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23,89;16.sty;2,405;1,362;5819,495;;276,045;sty.00;;;26,664;;61,15;0,581;35588996;;;;
AIA;North America;Anguilla;18.01.2023;3904;0;0;12;0;0;245890,282;0;0;755,81;0;0;;;;;;;;;;;;;;;;;;;24474;10853;10377;3244;;1;154,15;68,36;65,36;20,43;63;0;0;;;;;;;;;;;;;;81,88;;15877;;;;
ATG;North America;Antigua and Barbuda;18.01.2023;9106;0;0;146;0;0;97107,879;0;0;1556,968;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;231,845;32,1;6,933;4,631;21490,943;;191,511;13,17;;;;03.sty;77,02;0,778;93772;;;;
ARG;South America;Argentina;18.01.2023;10024095;19416;2773,714;130338;89;12,714;220259,803;426,628;60,947;2863,922;1,956;0,279;;;;;;;;;;;;;;;;;;;113730559;41431807;34797937;34675834;5;35710;249,9;91,04;76,46;76,19;785;870;0,002;;16,177;31,9;11,198;7,441;18933,907;0,6;191,032;05.sty;16.sty;27.sty;;5;76,67;0,845;45510324;;;;
ARM;Asia;Armenia;18.01.2023;446008;0;4,571;8717;0;0,143;160407,298;0;1,644;3135,079;0;0,051;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;102,931;35,7;11,232;7,571;8787,58;01.sty;341,01;07.sty;01.sty;52,1;94,043;04.sty;75,09;0,776;2780472;;;;
ABW;North America;Aruba;18.01.2023;43965;29;15;281;0;0,143;412975,887;272,405;140,899;2639,514;0;1,342;;;;;;;;;;;;;;;;;;;174237;90199;84038;;10;5;163,67;84,73;78,94;;47;2;0,002;;584,8;41,2;13,085;7,452;35973,781;;;sty.00;;;;;76,29;;106459;;;;
OWID_ASI;;Asia;18.01.2023;207635525;185432;189257,714;1528179;637;614,429;43977,688;39,275;40,085;323,672;0,135;0,13;;;;;;;;;;;;;;;;;;;8937850647;3655551295;3415559700;1764570053;1993720;1654505;189,31;77,43;72,34;37,37;350;159749;0,003;;;;;;;;;;;;;;;;4721383370;;;;
AUS;Oceania;Australia;18.01.2023;11247412;6714;5984,571;17712;31;58,286;429660,994;256,481;228,616;676,614;1,184;2,227;;92;3,514;2843;108,605;;;;;;;;;;;;;;63634307;22235981;21655105;19743221;;3203;243,09;84,94;82,72;75,42;122;106;0;;3,202;37,9;15,504;10,129;44648,71;0,5;107,791;05.sty;13;16.sty;;sty.00;83,44;0,944;26177410;;;;
AUT;Europe;Austria;18.01.2023;5747540;2643;1888;21589;13;7,571;642929,11;295,65;211,195;2414,98;1,454;0,847;;58;6,488;835;93,404;;;;;;;;;;;;;;;;;;;;;;;;;;;;106,749;44,4;19,202;13,748;45436,686;0,7;145,183;sty.00;28.sty;30.sty;;sty.00;81,54;0,922;8939617;;;;
AZE;Asia;Azerbaijan;18.01.2023;827525;75;67,143;10060;6;3,857;79891,752;7,241;6,482;971,223;0,579;0,372;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;119,309;32,4;6,018;3,871;15847,419;;559,812;07.sty;0,3;42,5;83,241;04.sty;73;0,756;10358078;;;;
BHS;North America;Bahamas;18.01.2023;37491;0;0;833;0;0;91443,917;0;0;2031,762;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;39,497;34,3;8,996;05.sty;27717,847;;235,954;13,17;03.sty;20.sty;;02.sty;73,92;0,814;409989;;;;
BHR;Asia;Bahrain;18.01.2023;699761;61;56,143;1540;0;0,143;475304,588;41,434;38,134;1046,027;0;0,097;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1935,907;32,4;2,372;1,387;43290,705;;151,689;16,52;05.sty;37,6;;2;77,29;0,852;1472237;;;;
BGD;Asia;Bangladesh;18.01.2023;2037399;13;10,286;29441;0;0;11901,643;0,076;0,06;171,982;0;0;;;;;;;;;;;;;;;;;;;346044434;150629515;131182263;65672743;1692012;536853;202,14;87,99;76,63;38,36;3136;34761;0,02;;1265,036;27.sty;5,098;3,262;3523,984;14.sty;298,003;sty.00;1;44,7;34,808;0,8;72,59;0,632;171186368;;;;
BRB;North America;Barbados;18.01.2023;105905;0;0;569;0;0;376021,673;0;0;2020,267;0;0;;;;;;;;;;;;;;;;;;;381013;163833;155010;62170;;2;135,28;58,17;55,04;22.sty;7;1;0;;664,463;39,8;14,952;9,473;16978,068;;170,05;13,57;01.sty;14.sty;88,469;05.sty;79,19;0,814;281646;;;;
BLR;Europe;Belarus;18.01.2023;994037;0;0;7118;0;0;104251,871;0;0;746,516;0;0;;;;;;;;;;;;;;;;;;;18630189;6522522;6407034;5597055;;36327;195,39;68,41;67,2;58,7;3810;129;0,001;;46,858;40,3;14,799;9,788;17167,967;;443,129;sty.00;10.sty;46,1;;11;74,79;0,823;9534956;;;;
BEL;Europe;Belgium;18.01.2023;4686147;3913;559;33478;83;11,857;402039,976;335,709;47,958;2872,188;7,121;1,017;;76;sty.00;1025;87,938;;;457;39,208;;;;;;;;;;29593429;9264433;9167087;11592493;1826;1004;253,89;79,48;78,65;99,46;86;22;0;;375,564;41,8;18,571;12,849;42658,576;0,2;114,898;sty.00;25.sty;31,4;;sty.00;81,63;0,931;11655923;;;;
BLZ;North America;Belize;18.01.2023;70555;158;22,571;688;0;0;174087,371;389,849;55,693;1697,571;0;0;;;;;;;;;;;;;;;;;;;501996;251874;221288;51139;;6;123,86;62,15;54,6;sty.00;15;2;0;;16,426;25;3,853;2,279;7824,362;;176,957;17.sty;;;90,083;01.sty;74,62;0,716;405285;;;;
BEN;Africa;Benin;18.01.2023;27989;0;1;163;0;0;2096,105;0;0,075;12,207;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99,11;18.sty;3,244;1,942;2064,236;49,6;235,848;0,99;0,6;12.sty;11,035;0,5;61,77;0,545;13352864;;;;
BMU;North America;Bermuda;18.01.2023;18751;33;4,714;157;2;0,286;292039,809;513,963;73,423;2445,216;31,149;sty.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1308,82;;;;50669,315;;139,547;13;;;;;82,59;;64207;;;;
BTN;Asia;Bhutan;18.01.2023;62577;0;3,714;21;0;0;79975,002;0;4,747;26,839;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21,188;28.sty;4,885;2,977;8708,597;01.sty;217,066;sty.00;;;79,807;01.sty;71,78;0,654;782457;;;;
BOL;South America;Bolivia;18.01.2023;1181351;975;951;22337;0;1,857;96641,033;79,76;77,797;1827,29;0;0,152;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10,202;25.sty;6,704;4,393;6885,829;07.sty;204,299;sty.00;;;25,383;01.sty;71,51;0,718;12224114;;;;
